x,y,distance
113,26,0.33634826405709256
150,93,0.17147352221526815
92,88,0.6437150716927036
166,37,1.0541390160610993
69,104,0.5305881354634462
143,53,0.33321867491355034
104,98,0.2397173933301756
71,150,0.7445599409821319
145,99,0.5564705859641597
48,166,1.3596041102763476
122,115,0.4418144738634253
120,42,0.2851364184463153
180,93,1.1111111111111112
23,109,1.2101831311373379
83,160,0.5177277284030168
157,109,0.14137275418169015
124,161,
196,37,0.6998904163160453
60,176,0.618464329800784
99,104,0.04022903182856552
173,53,0.5293610109757352
76,120,0.5421237386787708
115,48,0.46585079193723333
134,98,0.10513405286038321
18,115,1.7814636729886724
37,165,0.34572707801789626
152,115,1.3985454722208175
55,182,0.18027836485028814
127,58,0.2483143535074347
168,59,0.2411111476098038
187,109,0.41461230833388774
15,2,1.4502849164010028
106,120,0.23369467944388783
166,171,1.0069156293435895
182,115,0.4801529652483191
10,8,0.3384982028082908
101,126,0.1520188539466376
161,177,0.6264063916287239
45,2,0.15499245943665707
196,171,0.5054792030671954
173,187,0.6176716633800075
98,13,0.43440770541223755
84,115,0.3258407049977181
1,80,2.092259515005197
174,8,0.18502895170675238
191,177,1.0530102945325104
77,75,0.833617995898571
75,2,1.2092360798904784
168,193,1.3675402722529244
176,54,0.1690308509457033
93,19,0.27399909279807394
79,121,0.6797083481215063
128,13,0.4257636906823635
155,116,0.1345916295631274
58,183,0.429634129576429
91,131,0.14189350065168804
70,8,0.4556640111437483
130,59,0.18121635562338223
107,75,0.09664335726707407
181,24,0.41881667841891024
167,126,0.06102396683630818
198,193,0.7941543376620084
82,18,0.38809958229215186
123,19,0.5993551016666202
109,121,0.3053427211497258
183,70,0.2541847811018674
86,137,0.16698561695756936
158,13,0.7928939551302676
135,29,0.9120720258318271
121,131,0.19390559115144326
162,132,0.44547396591513916
137,75,0.005288858853479451
114,91,0.10713112637824632
174,142,0.2653614052966996
141,194,1.1132590002769787
153,19,0.6282503068162542
42,188,0.75
116,137,0.16564919595026478
190,86,0.579415526756524
176,188,1.2905724330974886
132,81,0.017267079698268788
165,29,0.9375566925413007
68,96,0.6481940383801292
54,198,0.9237344143308632
169,148,0.7563106698968272
70,142,0.5266108890128591
144,91,0.11952286093343936
160,35,0.4148480593473755
197,102,0.9639676531132981
139,97,0.20758142559674547
172,45,0.3368962943608291
199,148,2.3499467158592253
9,24,0.7932666168270683
151,107,0.10862629681091016
41,97,1.272194916438985
117,92,0.1436137185785639
110,52,0.38992831141960016
96,154,1.3691273234696553
160,169,0.6331421814903753
71,97,0.6204675053276547
145,46,0.35433509497007964
122,62,0.2508111101493411
87,41,0.6993502134199157
124,108,0.15390086231441946
140,52,0.1889822365046136
200,103,1.2981125224324688
76,67,0.855077957918876
175,46,0.24566140865734348
78,113,0.33732323629374017
152,62,0.07877372856618416
193,63,
154,108,0.08380196976136473
57,175,0.28932579805171277
131,124,0.5815623911991645
170,52,1.316151654722767
73,119,0.3294135960836601
147,68,0.09676828363928591
133,170,0.9792749874531976
106,67,1.2944621283167663
108,113,0.28462050535127403
182,62,0.13173281797633574
85,129,0.1506921679937549
126,130,0.3116954560332212
